episode,step,reward,min_range,v,w,timestamp
1,143,-0.098,0.8094009160995483,-0.08,0.9,1762042309.7311943
1,144,-0.098,0.8094009160995483,-0.08,0.9,1762042309.8312309
1,145,-0.098,0.8092185258865356,-0.08,0.9,1762042309.931243
1,146,-0.098,0.8092139959335327,-0.08,0.9,1762042310.0312388
1,147,0.156,0.8092020750045776,0.18,1.2,1762042310.131234
1,148,-0.098,0.8090834021568298,-0.08,-0.9,1762042310.231233
1,149,-0.098,0.8087981343269348,-0.08,-0.9,1762042310.3312447
1,150,-0.098,0.8087401986122131,-0.08,-0.9,1762042310.4312181
1,151,-0.098,0.808631956577301,-0.08,-0.9,1762042310.5312457
1,152,-0.098,0.8086011409759521,-0.08,-0.9,1762042310.6312563
1,153,-0.098,0.8084351420402527,-0.08,-0.9,1762042310.7312467
1,154,-0.098,0.8084002137184143,-0.08,-0.9,1762042310.83123
1,155,-0.098,0.8084599375724792,-0.08,-0.9,1762042310.9312499
1,156,0.156,0.808498203754425,0.18,1.2,1762042311.031234
1,157,-0.098,0.8038345575332642,-0.08,0.9,1762042311.131245
1,158,-0.098,0.8037919998168945,-0.08,0.9,1762042311.2312336
1,159,-0.098,0.8039485216140747,-0.08,0.9,1762042311.331254
1,160,-0.098,0.8038761615753174,-0.08,0.9,1762042311.431236
1,161,-0.098,0.8045046329498291,-0.08,0.9,1762042311.5312133
1,162,-0.098,0.8036190271377563,-0.08,0.9,1762042311.6312199
1,163,-0.098,0.803288996219635,-0.08,0.9,1762042311.7312078
1,164,-0.098,0.8032374978065491,-0.08,0.9,1762042311.8312414
1,165,0.156,0.8027406930923462,0.18,1.2,1762042311.9312384
1,166,-0.098,0.8026962876319885,-0.08,-0.9,1762042312.0312133
1,167,-0.098,0.8026090264320374,-0.08,-0.9,1762042312.1312366
1,168,-0.098,0.8026090860366821,-0.08,-0.9,1762042312.2312295
1,169,-0.098,0.8026403784751892,-0.08,-0.9,1762042312.33121
1,170,-0.098,0.8026876449584961,-0.08,-0.9,1762042312.4312496
1,171,-0.098,0.8027471899986267,-0.08,-0.9,1762042312.5312028
1,172,-0.098,0.8027450442314148,-0.08,-0.9,1762042312.6312575
1,173,-0.098,0.8027520179748535,-0.08,-0.9,1762042312.7312405
1,174,-0.098,0.8027471303939819,-0.08,-0.9,1762042312.8312426
1,175,0.156,0.8026890754699707,0.18,1.2,1762042312.931249
1,176,-0.098,0.8026925325393677,-0.08,0.9,1762042313.0312552
1,177,-0.098,0.8025961518287659,-0.08,0.9,1762042313.1312127
1,178,-0.098,0.8025961518287659,-0.08,0.9,1762042313.2312331
1,179,-0.098,0.8025961518287659,-0.08,0.9,1762042313.3312387
1,180,-0.098,0.8032428622245789,-0.08,0.9,1762042313.4312463
1,181,-0.098,0.8032056093215942,-0.08,0.9,1762042313.5312188
1,182,-0.098,0.8028404712677002,-0.08,0.9,1762042313.6312141
1,183,-0.098,0.8028404712677002,-0.08,0.9,1762042313.731216
1,184,-0.098,0.802623450756073,-0.08,0.9,1762042313.8312373
1,185,0.156,0.8026103377342224,0.18,1.2,1762042313.9312272
1,186,-0.098,0.8023252487182617,-0.08,-0.9,1762042314.0312133
1,187,-0.098,0.8015692830085754,-0.08,-0.9,1762042314.1312413
1,188,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.2312324
1,189,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.3312457
1,190,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.4312432
1,191,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.5312223
1,192,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.6312242
1,193,-0.098,0.8015029430389404,-0.08,-0.9,1762042314.7312462
1,194,0.156,0.8015029430389404,0.18,1.2,1762042314.8312252
1,195,-0.098,0.8015029430389404,-0.08,0.9,1762042314.931218
1,196,-0.098,0.8015029430389404,-0.08,0.9,1762042315.031219
1,197,-0.098,0.8015029430389404,-0.08,0.9,1762042315.1312008
1,198,-0.098,0.8015029430389404,-0.08,0.9,1762042315.2311912
1,199,-0.098,0.8015029430389404,-0.08,0.9,1762042315.3312442
1,200,-0.098,0.8015029430389404,-0.08,0.9,1762042315.4312215
1,201,-0.098,0.8015029430389404,-0.08,0.9,1762042315.5312293
1,202,-0.098,0.801473081111908,-0.08,0.9,1762042315.6312299
1,203,-0.098,0.8014379739761353,-0.08,0.9,1762042315.731237
1,204,0.156,0.8016301989555359,0.18,1.2,1762042315.8312216
1,205,-0.098,0.8014906644821167,-0.08,-0.9,1762042315.9313138
1,206,-0.098,0.801400363445282,-0.08,-0.9,1762042316.0312402
1,207,-0.098,0.801400363445282,-0.08,-0.9,1762042316.1312473
1,208,-0.098,0.801400363445282,-0.08,-0.9,1762042316.231279
1,209,-0.098,0.801400363445282,-0.08,-0.9,1762042316.3312552
1,210,-0.098,0.801400363445282,-0.08,-0.9,1762042316.4312136
1,211,-0.098,0.801400363445282,-0.08,-0.9,1762042316.5312345
1,212,-0.098,0.8014408349990845,-0.08,-0.9,1762042316.631212
1,213,0.156,0.8014276027679443,0.18,1.2,1762042316.7312174
1,214,-0.098,0.8009891510009766,-0.08,0.9,1762042316.8312414
1,215,-0.098,0.8010225892066956,-0.08,0.9,1762042316.9312224
1,216,-0.098,0.800700843334198,-0.08,0.9,1762042317.0312438
1,217,-0.098,0.8003124594688416,-0.08,0.9,1762042317.1312368
1,218,-0.098,0.7994253635406494,-0.08,0.9,1762042317.2312136
1,219,-0.098,0.7990257740020752,-0.08,0.9,1762042317.3312342
1,220,-0.098,0.7984966039657593,-0.08,0.9,1762042317.431237
1,221,-0.098,0.7983331084251404,-0.08,0.9,1762042317.5312135
1,222,0.156,0.7978890538215637,0.18,1.2,1762042317.6312425
1,223,-0.098,0.7969892621040344,-0.08,-0.9,1762042317.7312498
1,224,-0.098,0.7981123328208923,-0.08,-0.9,1762042317.8312259
1,225,-0.098,0.7981123328208923,-0.08,-0.9,1762042317.9312372
1,226,-0.098,0.7981123328208923,-0.08,-0.9,1762042318.0312138
1,227,-0.098,0.7980690598487854,-0.08,-0.9,1762042318.1312208
1,228,-0.098,0.7980955839157104,-0.08,-0.9,1762042318.2312925
1,229,-0.098,0.7981041073799133,-0.08,-0.9,1762042318.331244
1,230,-0.098,0.7980921268463135,-0.08,-0.9,1762042318.4312322
1,231,-0.098,0.7980921268463135,-0.08,-0.9,1762042318.531215
1,232,0.156,0.7980921268463135,0.18,1.2,1762042318.6312199
